[2026-05-26 08:06:55 UTC] NEW    | Delta Blue Carbon - 1 | VCS Issuance Documents | VCS_MULTIPLE ISSUANCE DEED._2250_01Nov_28FEB23.pdf | uploaded 22/02/2024 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=108011&IDKEY=l097809fdslkjf09rndasfufd098asodfjlkduf09nm23mrn879148947169
[2026-05-27 06:57:25 UTC] NEW    | Indo-Gangetic Plains Regenerative Agriculture | VCS Other Documents | 3346VC~1.PDF | uploaded 26/05/2026 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=150729&IDKEY=f8723kjnf7kjandsaslmdv09887vaksmrmnwqkjoiuanfnfuq0k207855291
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Registration Documents | WIF Mangrove PD Version 3.0 feb 2018.pdf | uploaded 01/03/2018 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=24147&IDKEY=olksjoiuwqowrnoiuomnckjashoufifmln902309ksdflku098933298713
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Registration Documents | Registration Deed Of Representation.pdf | uploaded 01/03/2018 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=24145&IDKEY=l98klasmf8jflkasf8098afnasfkj98f0a9sfsakjflsakjf8ds33295955
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Registration Documents | FVR_16IQMD40_1.1Aa_26022018.pdf | uploaded 01/03/2018 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=24143&IDKEY=qiofj09234rm9oq4jndsma80vcalksdjf98cxkjaf90823nmq3c33293197
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Registration Documents | VCS Validation Representation, v3.3_signed.pdf | uploaded 01/03/2018 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=24144&IDKEY=j903q4jsafkasjfu90amnmasdfkaidflnmdf9348r09dmfasdf933294576
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Issuance Documents | VCS-Issuance-Representation-WIF (1).PDF file.pdf | uploaded 01/11/2018 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=25764&IDKEY=riofj09234rm9oq4jndsma80vcalksdjf98cxkjaf90823nmq3a35528556
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Issuance Documents | VCS-Issuance-Representation-WIF.pdf | uploaded 11/10/2019 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=28762&IDKEY=9903q4jsafkasjfu90amnmasdfkaidflnmdf9348r09dmfasdfd39662798
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Issuance Documents | 1764_VCS-Issuance-Representation-WIF.pdf | uploaded 30/10/2020 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=49182&IDKEY=qiofj09234rm9oq4jndsma80vcalksdjf98cxkjaf90823nmq3c67821978
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Issuance Documents | 1764_VCS Issuance Deed of Representation 2021.pdf | uploaded 08/10/2021 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=56653&IDKEY=r903q4jsafkasjfu90amnmasdfkaidflnmdf9348r09dmfasdff78124487
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Issuance Documents | VCS-Issuance-Representation-Single-Representor-v4.1(2)_revised.pdf | uploaded 17/12/2022 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=81008&IDKEY=lkjalskjf098234kj28098sfkjlf098098kl32lasjdflkj9098111710032
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Issuance Documents | Issuance-Representation-Single-PP-v4.3_WIF_ID 1764_20241226.pdf | uploaded 03/01/2025 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=125592&IDKEY=f8723kjnf7kjandsaslmdv09887vaksmrmnwqkjoiuanfnfuq0k173191368
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Issuance Documents | VCS-Monitoring-Report WIF V2.0 clean version.pdf | uploaded 01/11/2018 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=25761&IDKEY=aq934lkmsad39asjdkfj90qlkalsdkngaf98ulkandDfdvDdfhu35524419
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Issuance Documents | VCS-WIF Monitoring-Report-2019-v1.2 Clean version.pdf | uploaded 11/10/2019 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=28759&IDKEY=4q934lkmsad39asjdkfj90qlkalsdkngaf98ulkandDfdvDdfhv39658661
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Issuance Documents | 1764_VCS-Monitoring-Report_V2_Final-clean.pdf | uploaded 02/12/2020 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=49758&IDKEY=oiquwesdfmnk0iei23nnm435oiojnc909dsflk9809adlkmlkf568616282
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Issuance Documents | 1764_VCS-Monitoring-Report_V.3.0-wifi_Clean.pdf | uploaded 21/12/2021 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=59015&IDKEY=n0e98hfalksuf098fnsdalfkjfoijmn4309JLKJFjlaksjfla9d81381685
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Issuance Documents | 1764_5th_MR_3PRR_20231010_Clean.pdf | uploaded 22/11/2023 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=102620&IDKEY=k097809fdslkjf09rndasfufd098asodfjlkduf09nm23mrn870141512980
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Issuance Documents | VCS 1764 6th Monitoring-Report v4.4_(last submission Verra 20241219)_Clean_20250819.pdf | uploaded 25/08/2025 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=136999&IDKEY=4903q4jsafkasjfu90amnmasdfkaidflnmdf9348r09dmfasdfm188921621
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Issuance Documents | FVR_16IQMD41_1.0Aa_29102018.pdf | uploaded 01/11/2018 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=25762&IDKEY=a8723kjnf7kjandsaslmdv09887vaksmrmnwqkjoiuanfnfuq0k35525798
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Issuance Documents | Final_VCS_Ver_WIF_MagroveMyanmar.pdf | uploaded 11/10/2019 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=28760&IDKEY=uiquwesdfmnk0iei23nnm435oiojnc909dsflk9809adlkmlkfm39660040
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Issuance Documents | 1764_Final verification report_141020_R1_Approved.pdf | uploaded 02/12/2020 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=49759&IDKEY=ciofj09234rm9oq4jndsma80vcalksdjf98cxkjaf90823nmq3v68617661
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Issuance Documents | Final verification report_1764 -revised_Clean.pdf | uploaded 21/12/2021 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=59016&IDKEY=kq934lkmsad39asjdkfj90qlkalsdkngaf98ulkandDfdvDdfh981383064
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Issuance Documents | VCS.VER.22.54_FVR_VCS1764_Clean 20231013.pdf | uploaded 22/11/2023 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=102616&IDKEY=aiofj09234rm9oq4jndsma80vcalksdjf98cxkjaf90823nmq3r141507464
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Issuance Documents | VCS VerR 1764 15JUN2022-31DEC2023_Clean.pdf | uploaded 25/08/2025 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=137000&IDKEY=8097809fdslkjf09rndasfufd098asodfjlkduf09nm23mrn87m188923000
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Issuance Documents | VCS-Verification-Representation-v3.3_signed.pdf | uploaded 01/11/2018 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=25763&IDKEY=kiquwesdfmnk0iei23nnm435oiojnc909dsflk9809adlkmlkf935527177
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Issuance Documents | VCS-Verification-Representation-v4.0.pdf | uploaded 11/10/2019 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=28761&IDKEY=oiofj09234rm9oq4jndsma80vcalksdjf98cxkjaf90823nmq3m39661419
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Issuance Documents | 1764_Deed_Verification_Signed.pdf | uploaded 30/10/2020 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=49180&IDKEY=a8723kjnf7kjandsaslmdv09887vaksmrmnwqkjoiuanfnfuq0m67819220
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Issuance Documents | 1764_VCS-Verification-Representation_2021.pdf | uploaded 08/10/2021 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=56652&IDKEY=9iofj09234rm9oq4jndsma80vcalksdjf98cxkjaf90823nmq3378123108
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Issuance Documents | VCS-Verification-Representation-v4.1 VCS1764.pdf | uploaded 11/12/2022 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=80439&IDKEY=siofj09234rm9oq4jndsma80vcalksdjf98cxkjaf90823nmq3d110925381
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Issuance Documents | Verification-Representation.pdf | uploaded 03/01/2025 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=125591&IDKEY=vq934lkmsad39asjdkfj90qlkalsdkngaf98ulkandDfdvDdfh4173189989
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Other Documents | VCS Non-Permanence Risk Report WIF Version 2.0.pdf | uploaded 01/03/2018 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=24146&IDKEY=8kjalskjf098234kj28098sfkjlf098098kl32lasjdflkj909l33297334
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Other Documents | VCS Non-Permanence Risk Report WIF Version 2.0.pdf | uploaded 11/10/2019 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=28763&IDKEY=d98klasmf8jflkasf8098afnasfkj98f0a9sfsakjflsakjf8d39664177
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Other Documents | 4.6th MR_2023_VCUs_Consolidated Calcs Data.xlsx | uploaded 25/08/2025 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=137001&IDKEY=90e98hfalksuf098fnsdalfkjfoijmn4309JLKJFjlaksjfla9f188924379
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Other Documents | V4_PRR_1764_20DEC2021.pdf | uploaded 21/12/2021 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=59014&IDKEY=d097809fdslkjf09rndasfufd098asodfjlkduf09nm23mrn87d81380306
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Other Documents | VCS_V5_PRR_1764_22Nov2023.pdf | uploaded 22/11/2023 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=102617&IDKEY=4903q4jsafkasjfu90amnmasdfkaidflnmdf9348r09dmfasdfa141508843
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Other Documents | 1764_VCS-Non-Permanence-Risk-Report_Version 1.0.pdf | uploaded 30/10/2020 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=49183&IDKEY=j903q4jsafkasjfu90amnmasdfkaidflnmdf9348r09dmfasdf967823357
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Other Documents | 1764_VCS-Non-Permanence-Risk-Report_2021.pdf | uploaded 08/10/2021 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=56654&IDKEY=k98klasmf8jflkasf8098afnasfkj98f0a9sfsakjflsakjf8dj78125866
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Other Documents | 1764_VCS NPRR_3PRR_20231007_Clean.pdf | uploaded 22/11/2023 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=102619&IDKEY=3kjalskjf098234kj28098sfkjlf098098kl32lasjdflkj9093141511601
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Other Documents | VCS_NPR_REP_1764_6_15_2022_12_31_2023 (1).pdf | uploaded 25/08/2025 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=137003&IDKEY=88723kjnf7kjandsaslmdv09887vaksmrmnwqkjoiuanfnfuq0q188927137
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Other Documents | OTHER_1694_11JUL2017.pdf | uploaded 14/07/2017 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=21589&IDKEY=n903q4jsafkasjfu90amnmasdfkaidflnmdf9348r09dmfasdfd29771231
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Other Documents | VCS 1764- NPR Tool- 3PRR_ 17JULY2023_20231007.xls | uploaded 22/11/2023 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=102618&IDKEY=s98klasmf8jflkasf8098afnasfkj98f0a9sfsakjflsakjf8dl141510222
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Other Documents | VCS_V6_PRR_1764_15JUN2022_31DEC2023.pdf | uploaded 25/08/2025 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=137002&IDKEY=9q934lkmsad39asjdkfj90qlkalsdkngaf98ulkandDfdvDdfhd188925758
[2026-05-27 06:57:43 UTC] NEW    | Mangrove Restoration - Ayeyarwady Delta | VCS Other Documents | 1764_ProjectBd_4+3Poly_20240906_2060.72ha.kml | uploaded 25/08/2025 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=137004&IDKEY=fiquwesdfmnk0iei23nnm435oiojnc909dsflk9809adlkmlkf188928516
[2026-05-27 06:57:51 UTC] NEW    | Agroforestry - Mount Kenya | VCS Pipeline Documents | TIST KE PD-VCS-011a PD Text 230701 v2.pdf | uploaded 06/09/2023 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=96714&IDKEY=2kjalskjf098234kj28098sfkjlf098098kl32lasjdflkj9092133368606
[2026-05-27 06:57:51 UTC] NEW    | Agroforestry - Mount Kenya | VCS Pipeline Documents | TIST KE VCS-011c CAAC Listing Representation 230715.pdf | uploaded 17/08/2023 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=95634&IDKEY=4kjalskjf098234kj28098sfkjlf098098kl32lasjdflkj909l131879286
[2026-05-27 06:57:51 UTC] NEW    | Agroforestry - Mount Kenya | VCS Issuance Documents | TIST KE PD-VCS-011h App07 Verif 01 Monitoring Rpt 230701.pdf | uploaded 17/08/2023 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=95631&IDKEY=niofj09234rm9oq4jndsma80vcalksdjf98cxkjaf90823nmq3f131875149
[2026-05-27 06:57:51 UTC] NEW    | Agroforestry - Mount Kenya | VCS Issuance Documents | TIST KE PD-VCS-011h App07 Verif 01 Monitoring Rpt 230701 v2.pdf | uploaded 06/09/2023 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=96715&IDKEY=wlksjoiuwqowrnoiuomnckjashoufifmln902309ksdflku0980133369985
[2026-05-27 06:57:51 UTC] NEW    | Agroforestry - Mount Kenya | VCS Other Documents | TIST KE PD-VCS-011d App03a PA Plots 230701.kml | uploaded 17/08/2023 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=95630&IDKEY=niquwesdfmnk0iei23nnm435oiojnc909dsflk9809adlkmlkf0131873770
[2026-05-27 06:57:51 UTC] NEW    | Agroforestry - Mount Kenya | VCS Other Documents | TIST KE PD-VCS-011d App03b PA Plots 230701.kml | uploaded 18/08/2023 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=95759&IDKEY=9903q4jsafkasjfu90amnmasdfkaidflnmdf9348r09dmfasdfj132051661
[2026-05-27 06:57:51 UTC] NEW    | Agroforestry - Mount Kenya | VCS Other Documents | TIST KE PD-VCS-011d App03c PA Plots 230701.kml | uploaded 18/08/2023 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=95760&IDKEY=lkjalskjf098234kj28098sfkjlf098098kl32lasjdflkj9094132053040
[2026-05-27 06:57:51 UTC] NEW    | Agroforestry - Mount Kenya | VCS Other Documents | TIST KE PD-VCS-011d App03d PA Plots 230701.kml | uploaded 18/08/2023 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=95761&IDKEY=9lksjoiuwqowrnoiuomnckjashoufifmln902309ksdflku098i132054419
[2026-05-27 06:57:51 UTC] NEW    | Agroforestry - Mount Kenya | VCS Other Documents | TIST KE PD-VCS-011d App03e PA Plots 230701.kml | uploaded 18/08/2023 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=95762&IDKEY=j097809fdslkjf09rndasfufd098asodfjlkduf09nm23mrn87r132055798
[2026-05-27 06:57:51 UTC] NEW    | Agroforestry - Mount Kenya | VCS Other Documents | TIST KE PD-VCS-011d App03f PA Plots 230701.kml | uploaded 18/08/2023 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=95763&IDKEY=30e98hfalksuf098fnsdalfkjfoijmn4309JLKJFjlaksjfla9n132057177
[2026-05-27 06:57:51 UTC] NEW    | Agroforestry - Mount Kenya | VCS Other Documents | TIST KE PD-VCS-011d App03g PA Plots 230701.kml | uploaded 18/08/2023 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=95764&IDKEY=gq934lkmsad39asjdkfj90qlkalsdkngaf98ulkandDfdvDdfhf132058556
[2026-05-27 06:57:51 UTC] NEW    | Agroforestry - Mount Kenya | VCS Other Documents | CCB_EXEMPTION-APPROVED_4646_13FEB2025.pdf | uploaded 13/02/2025 | https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=127444&IDKEY=h0e98hfalksuf098fnsdalfkjfoijmn4309JLKJFjlaksjfla9s175745276
